
[xA, yA, xB, yB]
[265, 39, 360, 229]
[264, 38, 361, 232]
[264, 36, 361, 230]
[263, 33, 362, 232]
[270, 42, 363, 227]
[271, 42, 362, 224]
[271, 38, 364, 223]
[273, 37, 365, 221]
[276, 40, 366, 219]
[277, 37, 367, 217]
[277, 42, 365, 217]
[279, 40, 370, 221]
[279, 40, 370, 222]
[282, 40, 372, 221]
[283, 36, 375, 220]
[285, 36, 375, 216]
[287, 40, 374, 213]
[288, 39, 375, 212]
[288, 39, 375, 212]
[289, 37, 376, 210]
[292, 35, 380, 212]
[293, 35, 380, 209]
[294, 36, 380, 207]
[294, 35, 379, 205]
[295, 35, 379, 202]
[296, 34, 381, 203]
[296, 34, 381, 203]
[295, 29, 388, 214]
[296, 30, 385, 208]
[297, 35, 385, 211]
[297, 33, 386, 210]
[298, 31, 387, 209]
[299, 30, 389, 209]
[300, 29, 391, 210]
[301, 30, 390, 207]
[301, 30, 390, 209]
[303, 31, 390, 206]
[302, 30, 390, 206]
[303, 31, 391, 206]
[302, 29, 392, 208]
[303, 30, 391, 206]
[302, 30, 391, 208]
[300, 27, 393, 212]
[304, 29, 391, 204]
[306, 29, 392, 200]
[312, 33, 388, 186]
[313, 31, 392, 189]
[314, 32, 392, 188]
[317, 36, 392, 186]
[315, 32, 399, 200]
[315, 25, 399, 193]
[315, 25, 401, 198]
[315, 26, 401, 198]
[315, 26, 402, 199]
[315, 25, 402, 199]
[316, 27, 403, 201]
[230, 180, 310, 340]
[316, 27, 404, 202]
[317, 30, 402, 200]
[318, 31, 403, 201]
[316, 28, 403, 201]
[317, 27, 405, 202]
[316, 26, 406, 205]
[316, 25, 406, 205]
[317, 27, 405, 202]
[317, 25, 405, 201]
[316, 24, 407, 206]
[319, 30, 406, 204]
[318, 26, 409, 208]
[325, 26, 412, 199]
[323, 24, 410, 198]
[320, 22, 410, 202]
[322, 23, 411, 201]
[322, 23, 411, 201]
[327, 28, 409, 193]
[327, 28, 409, 193]
[327, 28, 409, 193]
[325, 29, 407, 193]
[314, 20, 415, 222]
[332, 30, 404, 174]
[320, 22, 410, 202]
[320, 22, 410, 202]
[322, 23, 412, 202]
[332, 30, 404, 174]
[334, 33, 406, 176]
[334, 33, 406, 176]
[335, 30, 407, 173]
[335, 30, 407, 173]
[312, 12, 419, 226]
[327, 25, 411, 193]
[329, 26, 411, 190]
[335, 30, 412, 183]
[335, 28, 416, 190]
[336, 28, 417, 189]
[338, 25, 419, 188]
[340, 27, 419, 186]
[340, 27, 419, 186]
[350, 31, 422, 174]
[350, 29, 422, 173]
[350, 29, 422, 173]
[352, 29, 424, 172]
[352, 28, 425, 173]
[356, 30, 426, 170]
[356, 30, 426, 170]
[363, 30, 436, 176]
[381, 25, 452, 166]
[388, 35, 455, 169]
[388, 35, 455, 169]
[386, 30, 459, 176]
[393, 32, 467, 178]
[396, 32, 469, 177]
[396, 26, 472, 177]
[396, 26, 472, 177]
[397, 26, 473, 177]
[397, 27, 474, 180]
[398, 26, 476, 181]
[398, 24, 478, 184]
[399, 25, 479, 185]
[400, 27, 478, 183]
[400, 24, 480, 184]
[401, 26, 481, 186]
[401, 26, 481, 186]
[404, 33, 479, 182]
[405, 33, 480, 183]
[404, 33, 479, 184]
[406, 34, 479, 180]
[406, 35, 478, 179]
[406, 35, 478, 179]
[406, 35, 478, 179]
[404, 27, 482, 182]
[406, 36, 479, 182]
[407, 37, 478, 178]
[407, 37, 478, 178]
[407, 38, 478, 179]
[405, 37, 479, 184]
[405, 34, 480, 183]
[405, 36, 479, 184]
[404, 33, 481, 187]
[395, 0, 491, 192]
[403, 33, 479, 186]
[393, 0, 490, 194]
[403, 33, 479, 186]
[393, 0, 490, 194]
[403, 33, 479, 186]
[404, 36, 480, 187]
[405, 37, 479, 185]
[402, 35, 482, 194]
[404, 35, 481, 189]
[404, 34, 480, 185]
[404, 34, 480, 185]
[404, 35, 480, 187]
[403, 34, 482, 192]
[402, 33, 484, 196]
[404, 36, 482, 191]
[404, 36, 482, 191]
[404, 36, 482, 191]
[404, 36, 482, 191]
[404, 37, 480, 188]
[404, 37, 480, 188]
[404, 38, 481, 192]
[404, 38, 481, 192]
[403, 37, 479, 189]
[403, 37, 480, 191]
[401, 36, 483, 199]
[400, 35, 484, 202]
[400, 36, 483, 202]
[402, 36, 482, 197]
[401, 37, 481, 197]
[401, 36, 483, 200]
[400, 35, 482, 200]
[400, 35, 484, 202]
[400, 36, 483, 203]
[399, 39, 482, 205]
[395, 37, 483, 212]
[392, 33, 483, 215]
[388, 29, 486, 225]
[388, 29, 486, 225]
[390, 32, 481, 213]
[389, 37, 481, 222]
[390, 39, 480, 219]
[395, 53, 474, 210]
[395, 56, 472, 210]
[391, 37, 478, 210]
[393, 51, 474, 213]
[390, 40, 480, 219]
[391, 39, 482, 220]
[393, 48, 478, 217]
[392, 38, 481, 216]
[394, 48, 478, 215]
[392, 36, 483, 217]
[392, 39, 482, 220]
[392, 39, 482, 218]
[391, 44, 480, 222]
[392, 49, 477, 219]
[392, 49, 477, 219]
[392, 51, 479, 225]
[393, 52, 479, 223]
[392, 51, 479, 225]
[392, 52, 478, 224]
[392, 53, 479, 226]
[392, 51, 479, 225]
[393, 58, 476, 224]
[393, 60, 478, 230]
[393, 61, 478, 231]
[393, 62, 477, 231]
[393, 63, 477, 231]
[394, 63, 477, 230]
[396, 67, 477, 228]
[394, 64, 477, 230]
[393, 61, 477, 230]
[394, 64, 477, 230]
[393, 64, 478, 233]
[392, 64, 478, 236]
